keywords;acces;trash;kw_acces;kw_acces_tl;kw_acces_lots;kw_trash;kw_trash_tl;kw_trash_lots
изучен;3;1;"оборудовани - 3; поставк - 2; intel® - 2; arria® - 2; fpga - 2";изучен+(оборудовани/поставк/intel®/arria®/fpga);3;"поиск - 1; компан - 1; оказан - 1; услуг - 1; предоставлен - 1";изучен+(поиск/компан/оказан/услуг/предоставлен);1
устройств;3;21;"поставк - 1; чистк - 1; фирменны - 1; банк - 1; самообслуживани - 1";устройств+(поставк/чистк/фирменны/банк/самообслуживани);3;"работ - 14; услуг - 14; выполнен - 8; открыт - 6; предложен - 5";устройств+(работ/услуг/выполнен/открыт/предложен);20
лазерн;3;0;"поставк - 3; принтер - 1; картридж - 1; cactus - 1; респ - 1";лазерн+(поставк/принтер/картридж/cactus/респ);3;;лазерн+);0
компан;3;5;"групп - 3; поставк - 3; квалификационн - 2; отбор - 2; торг - 2";компан+(групп/поставк/квалификационн/отбор/торг);3;"сист - 5; работ - 4; услуг - 4; открыт - 3; групп - 3";компан+(сист/работ/услуг/открыт/групп);8
разветвител;3;0;"успд - 3; интерфейс - 3; 170191-2 - 1; поставк - 1; энергомер - 1";разветвител+(успд/интерфейс/170191-2/поставк/энергомер);2;;разветвител+);0
видеокарт;3;0;"поставк - 3; москв - 1; сервер - 1; санкт-петербург - 1; com15112200024 - 1";видеокарт+(поставк/москв/сервер/санкт-петербург/com15112200024);3;;видеокарт+);0
электронн;3;8;"maxpatrol - 3; обязательств - 2; поставк - 2; течен - 2; гарантийн - 2";электронн+(maxpatrol/обязательств/поставк/течен/гарантийн);2;"услуг - 5; техническ - 4; мтс-банк - 4; сист - 4; открыт - 4";электронн+(услуг/техническ/мтс-банк/сист/открыт);7
dwdm;3;0;"поставк - 2; huawei - 2; нужд - 2; открыт - 1; приобретен - 1";dwdm+(поставк/huawei/нужд/открыт/приобретен);3;;dwdm+);0
планш;3;0;"поставк - 10; компьютер - 9; планшетн - 9; apple - 8; ipad - 5";планш+(поставк/компьютер/планшетн/apple/ipad);13;;планш+);0
корпоративн;3;6;"165733-2 - 2; предприят - 2; лицензи - 2; расширенн - 2; месяцев - 2";корпоративн+(165733-2/предприят/лицензи/расширенн/месяцев);2;"открыт - 12; прав - 11; предоставлен - 10; услуг - 10; предложен - 9";корпоративн+(открыт/прав/предоставлен/услуг/предложен);14
товар;3;0;"mikrotik - 2; поставк - 1; карт - 1; памят - 1; прочег - 1";товар+(mikrotik/поставк/карт/памят/прочег);2;;товар+);0
программно-аппаратн;3;3;"поставк - 3; комплекс - 3; vipnet - 2; нужд - 2; com10112200071 - 1";программно-аппаратн+(поставк/комплекс/vipnet/нужд/com10112200071);3;"открыт - 3; комплекс - 3; техническ - 3; услуг - 2; банк - 2";программно-аппаратн+(открыт/комплекс/техническ/услуг/банк);3
ростов-на-дон;3;3;"поставк - 4; sip-телефон - 1; ключ - 1; mifare - 1; плат - 1";ростов-на-дон+(поставк/sip-телефон/ключ/mifare/плат);4;"модернизац - 2; предложен - 1; расположенн - 1; объектах - 1; возд - 1";ростов-на-дон+(модернизац/предложен/расположенн/объектах/возд);3
бесперебойн;3;4;"предложен - 3; поставк - 2; питани - 2; источник - 2; закупк - 2";бесперебойн+(предложен/поставк/питани/источник/закупк);3;"предложен - 5; открыт - 4; прав - 4; заключен - 4; договор - 4";бесперебойн+(предложен/открыт/прав/заключен/договор);5
оповещени;3;5;"сист - 2; оборудован - 1; обеспечивающ - 1; сопряжен - 1; объектов - 1";оповещени+(сист/оборудован/обеспечивающ/сопряжен/объектов);2;"оборудован - 8; сист - 6; эвакуац - 5; работ - 5; монтаж - 5";оповещени+(оборудован/сист/эвакуац/работ/монтаж);4
интерфейс;3;1;"успд - 3; разветвител - 3; 170191-2 - 1; поставк - 1; энергомер - 1";интерфейс+(успд/разветвител/170191-2/поставк/энергомер);2;"оператор - 3; обмен - 2; сист - 2; оказан - 1; услуг - 1";интерфейс+(оператор/обмен/сист/оказан/услуг);1
стерлитамак;3;0;"поставк - 3; модул - 1; расширени - 1; ip-телефон - 1; 167213,1 - 1";стерлитамак+(поставк/модул/расширени/ip-телефон/167213,1);3;;стерлитамак+);0
успд;3;0;"разветвител - 3; интерфейс - 3; 170191-2 - 1; поставк - 1; энергомер - 1";успд+(разветвител/интерфейс/170191-2/поставк/энергомер);2;;успд+);0
усинск;3;0;"поставк - 3; системн - 1; блок - 1; сервер - 1; 168082,2 - 1";усинск+(поставк/системн/блок/сервер/168082,2);3;;усинск+);0
печатн;3;0;"оригинальн - 3; расходн - 3; материал - 3; оборудован - 3; canon - 2";печатн+(оригинальн/расходн/материал/оборудован/canon);3;;печатн+);0
территори;3;20;"оптическ - 4; ресурс - 4; предложен - 4; торг - 3; открыт - 3";территори+(оптическ/ресурс/предложен/торг/открыт);3;"работ - 16; выполнен - 15; предложен - 14; открыт - 14; област - 14";территори+(работ/выполнен/предложен/открыт/област);18
neural;3;0;"apple - 4; извещен - 3; предложен - 3; поставк - 3; ноутбук - 3";neural+(apple/извещен/предложен/поставк/ноутбук);3;;neural+);0
16-core;3;0;"apple - 4; извещен - 3; предложен - 3; поставк - 3; ноутбук - 3";16-core+(apple/извещен/предложен/поставк/ноутбук);3;;16-core+);0
512гб;3;0;"apple - 4; извещен - 3; предложен - 3; поставк - 3; ноутбук - 3";512гб+(apple/извещен/предложен/поставк/ноутбук);3;;512гб+);0
8-core;3;0;"apple - 4; извещен - 3; открыт - 3; engine - 3; neural - 3";8-core+(apple/извещен/открыт/engine/neural);3;;8-core+);0
пуско-наладочн;3;8;"объект - 3; монтаж - 3; кондиционер - 3; проведен - 3; работ - 3";пуско-наладочн+(объект/монтаж/кондиционер/проведен/работ);3;"работ - 15; оборудован - 10; предложен - 8; сист - 7; адрес - 6";пуско-наладочн+(работ/оборудован/предложен/сист/адрес);12
гарантийн;3;0;"течен - 3; maxpatrol - 3; программн - 2; оборудовани - 2; поддержк - 2";гарантийн+(течен/maxpatrol/программн/оборудовани/поддержк);3;"работ - 4; послегарантийн - 4; ремонт - 4; оборудован - 4; открыт - 2";гарантийн+(работ/послегарантийн/ремонт/оборудован/открыт);4
комплект;3;5;"комплектующ - 11; поставк - 9; оборудовани - 5; серверн - 4; сервер - 2";комплект+(комплектующ/поставк/оборудовани/серверн/сервер);13;"предложен - 5; карт - 4; открыт - 4; оптическ - 4; услуг - 3";комплект+(предложен/карт/открыт/оптическ/услуг);6
течен;3;0;"гарантийн - 3; maxpatrol - 3; поставк - 2; обязательств - 2; дополнен - 2";течен+(гарантийн/maxpatrol/поставк/обязательств/дополнен);2;;течен+);0
icom;3;0;"йошкар- - 3; раци - 2; поставк - 1; предложен - 1";icom+(йошкар-/раци/поставк/предложен);2;;icom+);0
портативн;3;0;"предложен - 3; поставк - 3; извещен - 2; открыт - 2; ноутбук - 2";портативн+(предложен/поставк/извещен/открыт/ноутбук);3;;портативн+);0
программ;3;7;"программн - 20; поставк - 16; обеспечени - 9; комплекс - 8; прав - 8";программ+(программн/поставк/обеспечени/комплекс/прав);26;"программн - 18; техническ - 15; поддержк - 13; открыт - 13; услуг - 11";программ+(программн/техническ/поддержк/открыт/услуг);28
няган;3;1;"поставк - 3; телефонн - 1; адаптер - 1; планшетн - 1; компьютер - 1";няган+(поставк/телефонн/адаптер/планшетн/компьютер);3;"163386-2 - 1; автономномн - 1; торг - 1; белоярск - 1; радужн - 1";няган+(163386-2/автономномн/торг/белоярск/радужн);1
прием;3;6;"предложен - 4; ресурс - 4; оптическ - 4; торг - 4; приобретен - 2";прием+(предложен/ресурс/оптическ/торг/приобретен);4;"сист - 10; предложен - 10; открыт - 6; выполнен - 6; сист - 5";прием+(сист/предложен/открыт/выполнен/сист);10
курган;3;0;"поставк - 3; программн - 1; обеспечени - 1; wi-fi - 1; роутер - 1";курган+(поставк/программн/обеспечени/wi-fi/роутер);3;;курган+);0
беспроводн;3;0;"поставк - 3; предложен - 1; оборудовани - 1; промышленн - 1; wi-fi - 1";беспроводн+(поставк/предложен/оборудовани/промышленн/wi-fi);3;;беспроводн+);0
xerox;3;7;"поставк - 3; расходн - 2; материал - 2; тонер - 2; com18082200006 - 1";xerox+(поставк/расходн/материал/тонер/com18082200006);3;"услуг - 4; техническ - 4; обслуживан - 4; оборудован - 4; выпуск - 4";xerox+(услуг/техническ/обслуживан/оборудован/выпуск);3
maxpatrol;3;0;"течен - 2; обязательств - 2; гарантийн - 2; дополнен - 2; all-in-one - 2";maxpatrol+(течен/обязательств/гарантийн/дополнен/all-in-one);1;"продлен - 1; лиценз - 1; сист - 1; ауд - 1; maxpatrol8 - 1";maxpatrol+(продлен/лиценз/сист/ауд/maxpatrol8);1
предоставлен;3;12;"лицензи - 2; использовани - 2; мобильн - 2; прав - 2; лиценз - 1";предоставлен+(лицензи/использовани/мобильн/прав/лиценз);3;"услуг - 22; открыт - 15; предоставлен - 15; предложен - 12; прав - 12";предоставлен+(услуг/открыт/предоставлен/предложен/прав);26
security;3;1;"прав - 3; maxpatrol - 3; поставк - 2; течен - 2; обязательств - 2";security+(прав/maxpatrol/поставк/течен/обязательств);3;"приобретен - 1; неисключительн - 1; лиценз - 1; vision - 1; центр - 1";security+(приобретен/неисключительн/лиценз/vision/центр);1
серебрян;3;4;"комплекс - 3; выбор - 2; поставщик - 2; закупк - 2; зап.част - 2";серебрян+(комплекс/выбор/поставщик/закупк/зап.част);3;"комплекс - 4; дорожн - 2; строительно-монтажн - 2; работ - 2; московск - 2";серебрян+(комплекс/дорожн/строительно-монтажн/работ/московск);4
край;2;0;"организаци - 1; краснодар - 1; поставк - 1; телефон - 1; yealink - 1";край+(организаци/краснодар/поставк/телефон/yealink);2;;край+);0
gsm-модем;2;0;"поставк - 2; волгоград - 2; 164633,1 - 2";gsm-модем+(поставк/волгоград/164633,1);2;;gsm-модем+);0
светодиодн;2;0;"поставк - 2; экран - 2; com09122200069 - 1";светодиодн+(поставк/экран/com09122200069);2;;светодиодн+);0
all-in-one;2;0;"maxpatrol - 3; течен - 2; обязательств - 2; гарантийн - 2; дополнен - 2";all-in-one+(maxpatrol/течен/обязательств/гарантийн/дополнен);1;;all-in-one+);0
работоспособност;2;2;"предложен - 2; договор - 2; поставк - 2; ericsson - 1; подряд - 1";работоспособност+(предложен/договор/поставк/ericsson/подряд);2;"контр - 4; техническ - 4; тревожн - 2; мтс-банк - 2; установленн - 2";работоспособност+(контр/техническ/тревожн/мтс-банк/установленн);2
web-приложен;2;0;"систем - 2; защит - 2; закупк - 1";web-приложен+(систем/защит/закупк);2;;web-приложен+);0
производств;2;12;"реализаци - 1; проект - 1; nokia - 1; ericsson - 1; подсистем - 1";производств+(реализаци/проект/nokia/ericsson/подсистем);2;"открыт - 7; предложен - 7; оборудован - 6; техническ - 6; работ - 5";производств+(открыт/предложен/оборудован/техническ/работ);12
ipc6622sr-x33-vf-ru;2;0;"видеокамер - 2; чебоксар - 2; предложен - 1";ipc6622sr-x33-vf-ru+(видеокамер/чебоксар/предложен);1;;ipc6622sr-x33-vf-ru+);0
164633,1;2;0;"поставк - 1; gsm-модем - 1; волгоград - 1";164633,1+(поставк/gsm-модем/волгоград);1;;164633,1+);0
региональн;2;4;"оповещени - 2; оборудован - 1; поставк - 1; восток - 1; центр - 1";региональн+(оповещени/оборудован/поставк/восток/центр);2;"внедрен - 3; агломерац - 3; сегмент - 3; создан - 3; интеллектуальн - 2";региональн+(внедрен/агломерац/сегмент/создан/интеллектуальн);3
2023-24г.г;2;2;"регионах - 2; дальнег - 1; восток - 1";2023-24г.г+(регионах/дальнег/восток);2;"волс - 2; евраз - 1; камчатк - 1; выполнен - 1; сахалинск - 1";2023-24г.г+(волс/евраз/камчатк/выполнен/сахалинск);2
кемеров;2;0;"поставк - 2; коммутатор - 2; модул - 2";кемеров+(поставк/коммутатор/модул);2;"открыт - 1; сооружен - 1; торг - 1; 2022-2023г.г - 1; период - 1";кемеров+(открыт/сооружен/торг/2022-2023г.г/период);1
восток;2;2;"поставк - 16; владивосток - 16; ip-телефон - 6; лиценз - 2; прием - 1";восток+(поставк/владивосток/ip-телефон/лиценз/прием);17;"предложен - 11; открыт - 10; владивосток - 7; модернизац - 7; выполнен - 6";восток+(предложен/открыт/владивосток/модернизац/выполнен);9
management;2;0;"maxpatrol - 3; открыт - 2; программн - 2; течен - 2; обязательств - 2";management+(maxpatrol/открыт/программн/течен/обязательств);2;;management+);0
testit;2;0;"лицензи - 2; открыт - 1; продлен - 1; систем - 1; управлени - 1";testit+(лицензи/открыт/продлен/систем/управлени);2;;testit+);0
термин;2;1;"поставк - 9; терминал - 8; телефони - 5; барна - 4; пульт - 1";термин+(поставк/терминал/телефони/барна/пульт);10;"поставк - 1; биометрическ - 1; отзыв - 1; работ - 1; такж - 1";термин+(поставк/биометрическ/отзыв/работ/такж);2
видеоконференцсвяз;2;0;"поставк - 2; оборудовани - 2; уренг - 1; систем - 1; курчат - 1";видеоконференцсвяз+(поставк/оборудовани/уренг/систем/курчат);2;;видеоконференцсвяз+);0
уренг;2;0;"поставк - 2; оборудовани - 1; видеоконференцсвяз - 1; программ - 1";уренг+(поставк/оборудовани/видеоконференцсвяз/программ);2;;уренг+);0
установк;2;11;"предложен - 2; поставк - 2; электроснабжени - 2; бесперебойн - 1; обеспечени - 1";установк+(предложен/поставк/электроснабжени/бесперебойн/обеспечени);2;"оборудован - 8; предложен - 7; работ - 7; адрес - 6; поставк - 5";установк+(оборудован/предложен/работ/адрес/поставк);11
силов;2;1;"блок - 2; реконструкци - 1; систем - 1; электроснабжени - 1; серверн - 1";силов+(блок/реконструкци/систем/электроснабжени/серверн);2;"закупк - 1; мод - 1; im25 - 1; 25кв - 1; сист - 1";силов+(закупк/мод/im25/25кв/сист);1
защит;2;24;"систем - 2; web-приложен - 2; закупк - 1";защит+(систем/web-приложен/закупк);2;"предложен - 15; противопожарн - 14; сист - 13; открыт - 12; средств - 9";защит+(предложен/противопожарн/сист/открыт/средств);18
операционн;2;1;"поставк - 1; сист - 1; махачк - 1; закупк - 1; монтаж - 1";операционн+(поставк/сист/махачк/закупк/монтаж);2;"побед - 2; сист - 2; втор - 1; охранн - 1; адрес - 1";операционн+(побед/сист/втор/охранн/адрес);1
банк;2;9;"мтс-банк - 12; закупк - 8; открыт - 7; поставк - 3; предложен - 3";банк+(мтс-банк/закупк/открыт/поставк/предложен);14;"мтс-банк - 49; открыт - 43; услуг - 35; сист - 32; предложен - 26";банк+(мтс-банк/открыт/услуг/сист/предложен);56
union;2;0;"закупк - 3; карт - 3; мтс-банк - 2; platinum - 1";union+(закупк/карт/мтс-банк/platinum);1;;union+);0
центр;2;23;"поставк - 3; открыт - 2; предложен - 2; региональн - 1; восток - 1";центр+(поставк/открыт/предложен/региональн/восток);2;"предложен - 20; открыт - 19; прав - 13; заключен - 13; торг - 13";центр+(предложен/открыт/прав/заключен/торг);23
продукт;2;2;"приобретен - 2; неисключительн - 2; прав - 2; программн - 2; infowatch - 1";продукт+(приобретен/неисключительн/прав/программн/infowatch);2;"клиент - 2; выполнен - 1; такж - 1; спецпроект - 1; встроенн - 1";продукт+(клиент/выполнен/такж/спецпроект/встроенн);2
внедрен;2;24;"систем - 3; открыт - 2; предложен - 2; управлени - 2; тестировани - 2";внедрен+(систем/открыт/предложен/управлени/тестировани);3;"сист - 19; открыт - 16; предложен - 14; управлен - 10; мтс-банк - 9";внедрен+(сист/открыт/предложен/управлен/мтс-банк);26
гарнитур;2;0;"поставк - 2; bluetooth - 1; подключени - 1; ноутбук - 1; телефонн - 1";гарнитур+(поставк/bluetooth/подключени/ноутбук/телефонн);2;;гарнитур+);0
плат;2;4;"поставк - 5; платформ - 3; управлени - 2; турникет - 1; модул - 1";плат+(поставк/платформ/управлени/турникет/модул);7;"сист - 8; создан - 6; платфор - 5; предложен - 4; открыт - 3";плат+(сист/создан/платфор/предложен/открыт);9
расширени;2;2;"поставк - 2; ip-атс - 1; плат - 1; курган - 1; модул - 1";расширени+(поставк/ip-атс/плат/курган/модул);2;"предложен - 3; открыт - 1; xsight - 1; soti - 1; platform - 1";расширени+(предложен/открыт/xsight/soti/platform);2
зап.част;2;0;"выбор - 2; поставщик - 2; закупк - 2; электро-кар - 2; комплекс - 2";зап.част+(выбор/поставщик/закупк/электро-кар/комплекс);2;;зап.част+);0
участк;2;1;"оптическ - 3; ресурс - 3; предложен - 3; открыт - 2; приобретен - 2";участк+(оптическ/ресурс/предложен/открыт/приобретен);2;"работ - 2; водоснабжен - 2; пз-20220074 - 1; открыт - 1; торг - 1";участк+(работ/водоснабжен/пз-20220074/открыт/торг);2
мирн;2;0;"открыт - 1; предложен - 1; приобретен - 1; оптическ - 1; ресурс - 1";мирн+(открыт/предложен/приобретен/оптическ/ресурс);1;;мирн+);0
белгород;2;0;"поставк - 2; программн - 1; обеспечени - 1; лицензи - 1";белгород+(поставк/программн/обеспечени/лицензи);2;;белгород+);0
163528-2;2;0;"предложен - 1; поставк - 1; электроизмерительн - 1; клещ - 1; мультиметр - 1";163528-2+(предложен/поставк/электроизмерительн/клещ/мультиметр);1;;163528-2+);0
аналогов;2;0;"поставк - 5; радиостанц - 2; спецификаци - 2; возможн - 2; нальчик - 1";аналогов+(поставк/радиостанц/спецификаци/возможн/нальчик);3;;аналогов+);0
интернет-магазин;2;0;"торг - 2; анализ - 2; процесс - 2; shop.mts.ru - 2; 164155-2 - 2";интернет-магазин+(торг/анализ/процесс/shop.mts.ru/164155-2);2;;интернет-магазин+);0
аппаратн;2;1;"поставк - 6; комплекс - 6; программно-аппаратн - 3; нужд - 2; проект - 2";аппаратн+(поставк/комплекс/программно-аппаратн/нужд/проект);7;"программно-аппаратн - 3; комплекс - 3; техническ - 3; открыт - 3; услуг - 2";аппаратн+(программно-аппаратн/комплекс/техническ/открыт/услуг);3
shop.mts.ru;2;0;"торг - 2; анализ - 2; процесс - 2; интернет-магазин - 2; 164155-2 - 2";shop.mts.ru+(торг/анализ/процесс/интернет-магазин/164155-2);2;;shop.mts.ru+);0
165051-5;2;0;"извещен - 1; открыт - 1; предложен - 1; поставк - 1; ноутбук - 1";165051-5+(извещен/открыт/предложен/поставк/ноутбук);1;;165051-5+);0
восстановлен;2;3;"b1310220633244 - 1; работ - 1; nokia - 1; ericsson - 1; производств - 1";восстановлен+(b1310220633244/работ/nokia/ericsson/производств);2;"выполнен - 3; работ - 3; теплотрасс - 2; предложен - 2; утеплит - 2";восстановлен+(выполнен/работ/теплотрасс/предложен/утеплит);2
оренбург;2;0;"поставк - 2; сетев - 1; хранилищ - 1; систем - 1; хранени - 1";оренбург+(поставк/сетев/хранилищ/систем/хранени);2;"област - 7; республик - 6; открыт - 1; предложен - 1; кировск - 1";оренбург+(област/республик/открыт/предложен/кировск);1
форм;2;0;"поставк - 268; сервер - 38; оборудовани - 25; коммутатор - 20; владивосток - 15";форм+(поставк/сервер/оборудовани/коммутатор/владивосток);269;"сист - 28; поставк - 27; услуг - 27; предложен - 27; информационн - 26";форм+(сист/поставк/услуг/предложен/информационн);67
видеорегистратор;2;1;"поставк - 2; жестк - 1; диск - 1; москв - 1; жирновск - 1";видеорегистратор+(поставк/жестк/диск/москв/жирновск);2;"поставк - 1; услуг - 1; монтаж - 1; видеокамер - 1; оборудован - 1";видеорегистратор+(поставк/услуг/монтаж/видеокамер/оборудован);1
аудио-виде;2;0;"поставк - 2; оборудовани - 2; com18072200061 - 1; открыт - 1; предложен - 1";аудио-виде+(поставк/оборудовани/com18072200061/открыт/предложен);2;;аудио-виде+);0
cab-18-12;2;0;"голосов - 2; шлюз - 2; кабел - 2; 18x2 - 2";cab-18-12+(голосов/шлюз/кабел/18x2);2;;cab-18-12+);0
18x2;2;0;"голосов - 2; шлюз - 2; кабел - 2; cab-18-12 - 2";18x2+(голосов/шлюз/кабел/cab-18-12);2;;18x2+);0
vipnet;2;2;"поставк - 2; программно-аппаратн - 2; комплекс - 2; нужд - 2; com10112200071 - 1";vipnet+(поставк/программно-аппаратн/комплекс/нужд/com10112200071);2;"закупк - 2; coordinator - 2; hw1000 - 2; лиценз - 2; прав - 2";vipnet+(закупк/coordinator/hw1000/лиценз/прав);2
возможн;2;2;"поставк - 3; спецификаци - 2; предложен - 1; приложени - 1; аналог - 1";возможн+(поставк/спецификаци/предложен/приложени/аналог);1;"предложен - 3; административн - 2; лот - 2; адрес - 2; расположенн - 2";возможн+(предложен/административн/лот/адрес/расположенн);3
колонк;2;0;предложен - 1;колонк+(предложен);1;;колонк+);0
выход;2;0;"многопользовательск - 1; вызывн - 1; панел - 1; замок - 1; кнопк - 1";выход+(многопользовательск/вызывн/панел/замок/кнопк);1;;выход+);0
североморск;2;3;"поставк - 2; астр - 1; линукс - 1; интерактивн - 1; комплект - 1";североморск+(поставк/астр/линукс/интерактивн/комплект);2;"услуг - 3; сист - 3; мурманск - 2; 168556-2 - 2; 167740,1 - 1";североморск+(услуг/сист/мурманск/168556-2/167740,1);3
generation;2;0;"apple - 6; ipad - 4; планшетн - 2; компьютер - 2; 256gb - 2";generation+(apple/ipad/планшетн/компьютер/256gb);2;;generation+);0
согласн;2;4;"поставк - 2; модул - 1; калуг - 1; выбор - 1; поставщик - 1";согласн+(поставк/модул/калуг/выбор/поставщик);2;"конструкц - 2; предоставлен - 2; 57831-2017 - 2; гост - 2; архив - 2";согласн+(конструкц/предоставлен/57831-2017/гост/архив);2
164155-2;2;0;"торг - 1; анализ - 1; процесс - 1; интернет-магазин - 1; shop.mts.ru - 1";164155-2+(торг/анализ/процесс/интернет-магазин/shop.mts.ru);1;;164155-2+);0
дополнен;2;1;"maxpatrol - 3; течен - 2; обязательств - 2; гарантийн - 2; all-in-one - 2";дополнен+(maxpatrol/течен/обязательств/гарантийн/all-in-one);1;"166535-3 - 1; открыт - 1; предложен - 1; обслуживан - 1; мобильн - 1";дополнен+(166535-3/открыт/предложен/обслуживан/мобильн);1
pencil;2;0;"apple - 6; ipad - 4; планшетн - 2; компьютер - 2; 256gb - 2";pencil+(apple/ipad/планшетн/компьютер/256gb);2;;pencil+);0
стилус;2;0;"apple - 6; ipad - 4; планшетн - 2; компьютер - 2; 256gb - 2";стилус+(apple/ipad/планшетн/компьютер/256gb);2;;стилус+);0
keyboard;2;0;"apple - 6; ipad - 4; планшетн - 2; компьютер - 2; 256gb - 2";keyboard+(apple/ipad/планшетн/компьютер/256gb);2;;keyboard+);0
magic;2;0;"apple - 6; ipad - 4; планшетн - 2; компьютер - 2; 256gb - 2";magic+(apple/ipad/планшетн/компьютер/256gb);2;;magic+);0
чехол-клавиатур;2;0;"apple - 6; ipad - 4; планшетн - 2; компьютер - 2; 256gb - 2";чехол-клавиатур+(apple/ipad/планшетн/компьютер/256gb);2;;чехол-клавиатур+);0
16gb;2;0;"извещен - 2; открыт - 2; предложен - 2; поставк - 2; ноутбук - 2";16gb+(извещен/открыт/предложен/поставк/ноутбук);2;;16gb+);0
512gb;2;0;"извещен - 2; открыт - 2; предложен - 2; поставк - 2; ноутбук - 2";512gb+(извещен/открыт/предложен/поставк/ноутбук);2;;512gb+);0
rj-45;2;4;"168752-2 - 1; переходник - 1; 8p8c - 1";rj-45+(168752-2/переходник/8p8c);1;"переходник - 2; 8p8c - 2";rj-45+(переходник/8p8c);2
раци;2;0;"поставк - 3; йошкар- - 3; icom - 3; maxpatrol - 3; обеспечен - 2";раци+(поставк/йошкар-/icom/maxpatrol/обеспечен);4;"сист - 6; интеграц - 5; услуг - 5; создан - 4; внедрен - 4";раци+(сист/интеграц/услуг/создан/внедрен);12
led-экран;2;0;"поставк - 2; com15112200116 - 1";led-экран+(поставк/com15112200116);2;;led-экран+);0
cellular;2;0;"apple - 6; ipad - 4; планшетн - 2; компьютер - 2; 256gb - 2";cellular+(apple/ipad/планшетн/компьютер/256gb);2;;cellular+);0
носим;2;0;"поставк - 2; радиостанц - 2; динамик-микрофон - 1; взрывозащищённ - 1; цифров - 1";носим+(поставк/радиостанц/динамик-микрофон/взрывозащищённ/цифров);2;;носим+);0
милютинск;2;0;"поставк - 2; демонтаж - 2; стар - 2; монтаж - 2; кондиционер - 2";милютинск+(поставк/демонтаж/стар/монтаж/кондиционер);2;;милютинск+);0
обязательств;2;0;"maxpatrol - 3; течен - 2; гарантийн - 2; дополнен - 2; all-in-one - 2";обязательств+(maxpatrol/течен/гарантийн/дополнен/all-in-one);1;;обязательств+);0
вызывн;2;0;"поставк - 1; антивандальн - 1; нижн - 1; новгород - 1; многопользовательск - 1";вызывн+(поставк/антивандальн/нижн/новгород/многопользовательск);2;;вызывн+);0
включ;2;3;"поставк - 2; демонтаж - 2; стар - 2; монтаж - 2; кондиционер - 2";включ+(поставк/демонтаж/стар/монтаж/кондиционер);2;"работ - 4; документац - 3; необход - 2; заказчик - 2; мира - 2";включ+(работ/документац/необход/заказчик/мира);3
256gb;2;0;"apple - 6; ipad - 4; планшетн - 2; компьютер - 2; wi-fi - 2";256gb+(apple/ipad/планшетн/компьютер/wi-fi);2;;256gb+);0
стар;2;0;"поставк - 2; демонтаж - 2; монтаж - 2; кондиционер - 2; включ - 2";стар+(поставк/демонтаж/монтаж/кондиционер/включ);2;;стар+);0
демонтаж;2;5;"поставк - 2; стар - 2; монтаж - 2; кондиционер - 2; включ - 2";демонтаж+(поставк/стар/монтаж/кондиционер/включ);2;"оборудован - 9; сист - 6; работ - 6; монтаж - 5; пожарн - 4";демонтаж+(оборудован/сист/работ/монтаж/пожарн);8
перм;2;1;"поставк - 2; оптическ - 1; шнур - 1; телефон - 1";перм+(поставк/оптическ/шнур/телефон);2;"физ.охран - 1; объект - 1; пермск - 1; крае - 1; предварительн - 1";перм+(физ.охран/объект/пермск/крае/предварительн);2
165190-4;2;0;"базов - 2; прав - 2; заключени - 2; договор - 2; поставк - 2";165190-4+(базов/прав/заключени/договор/поставк);2;;165190-4+);0
составляющ;2;0;"поставк - 2; улан - 1; компьютер - 1; высоцк - 1";составляющ+(поставк/улан/компьютер/высоцк);2;;составляющ+);0
fxs-порт;2;0;"квалификационн - 1; отбор - 1; поставк - 1; оборудовани - 1; передач - 1";fxs-порт+(квалификационн/отбор/поставк/оборудовани/передач);1;;fxs-порт+);0
республик;2;19;"поставк - 2; огнетушител - 2; объект - 2; фили - 2; татарстан - 2";республик+(поставк/огнетушител/объект/фили/татарстан);1;"предложен - 12; открыт - 11; област - 8; фили - 8; работ - 7";республик+(предложен/открыт/област/фили/работ);13
2024г;2;1;"165733-2 - 2; открыт - 2; предложен - 2; торг - 2; волс - 1";2024г+(165733-2/открыт/предложен/торг/волс);3;"открыт - 16; предложен - 16; прав - 13; заключен - 13; договор - 13";2024г+(открыт/предложен/прав/заключен/договор);16
аксессуар;2;0;"поставк - 2; планшетн - 1; компьютер - 1; смартфон - 1; казан - 1";аксессуар+(поставк/планшетн/компьютер/смартфон/казан);2;;аксессуар+);0
прост;2;0;"неисключительн - 2; лицензи - 2; приобретен - 1; использован - 1; xello - 1";прост+(неисключительн/лицензи/приобретен/использован/xello);2;"открыт - 1; приобретен - 1; простр - 1; неисключительн - 1; лиценз - 1";прост+(открыт/приобретен/простр/неисключительн/лиценз);1
лент;2;0;"поставк - 2; парт - 1; индикаторн - 1; номерн - 1; штрих-код - 1";лент+(поставк/парт/индикаторн/номерн/штрих-код);2;;лент+);0
камер;2;1;"поставк - 6; видеокамер - 6; чебоксар - 3; видеонаблюдени - 2; ipc6622sr-x33-vf-ru - 2";камер+(поставк/видеокамер/чебоксар/видеонаблюдени/ipc6622sr-x33-vf-ru);8;"видеокамер - 2; услуг - 2; оказан - 1; демонтажа/монтаж - 1; оборудован - 1";камер+(видеокамер/услуг/оказан/демонтажа/монтаж/оборудован);3
